Name,Style,ABV,Bottle Size,Price
#MASHTAG 2014,Amber / Red Ale,9,330,2.7
5AM SAINT,Amber / Red Ale,5,330,1.8
ABSTRAKT AB:14,Wheat Beer,10.2,375,10
ABSTRAKT AB:16,Belgian Style Ale,10.6,375,10
BLACK EYED KING IMP,Stout,11.8,330,14
BLACK JACQUES,Belgian Style Ale,11.1,330,12
BLACK TOKYO HORIZON,Stout,15.2,330,13
BRIXTON PORTER,Porter,5,330,1.95
CLOWN KING,Barley Wine / Barley Wine Style,12,330,3.95
COCOA PSYCHO,Stout,10,330,3.5
DEAD PONY CLUB,Pale Ale,3.8,330,1.7
DOG B,Stout,15.1,330,10.5
DOG C,Stout,15.1,330,10.5
DOGMA,Scotch Ale,7.4,330,2.6
ELECTRIC INDIA,Belgian Style Ale,6.5,330,2.6
EVERYDAY ANARCHY,Belgian Style Ale,10.3,330,11
FAKE LAGER,Lager / Pilsner,4.7,330,1.7
HARDCORE IPA,IPA,9.2,330,2.85
I HARDCORE YOU,IPA,9.5,330,3.25
JACK HAMMER,IPA,7.2,330,2.6
LIBERTINE BLACK ALE,Black Ale / Black IPA,7.2,330,2.5
MAGIC STONE DOG (W/ MAGIC ROCK & STONE),Pale Ale,5,330,2.6
MIX TAPE 8,IPA,14.5,330,12
PARADOX HEAVEN HILL,Stout,15,330,9.95
PUNK IPA,IPA,5.6,330,1.8
TOKYO*,Stout,16.5,330,9.95
U-BOAT (W/ VICTORY),Porter,8.4,330,3.5
VOTE SEPP,Wheat Beer,3.4,330,2.1
ZEITGEIST,Lager / Pilsner,4.9,330,1.7
