Name,Population,GDP,Unemployment,MinWage
Belgium,11258434,119,8.8,1501.82
Bulgaria,7202198,45,9.6,184.07
Croatia,4225316,59,15.4,395.61
Czech Republic,10538275,84,4.8,331.71
Estonia,1313271,73,5.7,390
France,66352469,107,10.8,1457.52
Germany,81174000,124,4.5,1473
Greece,10812467,72,24.6,683.76
Hungary,9849000,68,6.5,332.76
Ireland,4625885,132,9.1,1461.85
Latvia,1986096,64,9.9,360
Lithuania,2921262,74,9.6,300
Luxembourg,562958,263,5.9,1922.96
Malta,429344,85,5.1,720.46
Netherlands,16900726,130,6.8,1501.8
Poland,38005614,68,7.2,409.53
Portugal,10374822,78,12.3,589.17
Romania,19861408,54,6.8,217.5
Slovakia,5421349,76,11.1,380
Slovenia,2062874,83,9.3,790.73
Spain,46439864,93,21.8,756.7
United Kingdom,64767115,108,5.2,1378.87
